Comment,Description,Designator,Footprint,LibRef,Manufacturer,Manufacturer Part Number,Quantity,Supplier 1,Supplier Part Number 1

"4.7uF","CAP CER 4.7UF 35V X5R 0603","C1, C2, C9, C10, C88, C89, C107, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C134, C135, C136, C137, C138, C139, C140, C141, C142, C143, C144, C301, C311, C321, C331, C341, C351, C361, C362, C363, C364, C371, C372, C373, C374","MC_S6/SM/C_0603_IPC","GRM188R6YA475KE15D","Murata","GRM188R6YA475KE15D","45","Digikey","490-7205-1-ND"
"10uF","CAP CER 10UF 25V X5R 0805","C3, C4, C6, C7, C11, C12, C14, C15, C17, C18, C29, C54, C58, C60, C65, C69, C71, C82, C90, C99, C100, C103, C110, C113, C146, C302, C312, C322, C332, C342, C365, C375","MC_S6/SM/C_0805_IPC","GRM21BR61E106KA73L","Murata Electronics North America","GRM21BR61E106KA73L","32","Digi-Key","490-5523-1-ND"
"0.01uF","CAP CER 10nF 16V X7R 0402","C5, C8, C13, C16, C19, C26, C27, C84, C85, C106, C116, C133, C145, C148","MC_S6/SM/C_0402_IPC","C0402C103K4RACTU","KEMET","C0402C103K4RACTU","14","Digi-Key","399-1038-1-ND"
"0.47uF","CAP CER 0.47UF 10V X5R 0402","C20, C21, C22, C23, C24, C25, C33, C40, C41, C42, C43, C44, C45, C46, C47, C78, C83, C101, C111, C119, C147, C201, C202, C203, C204, C205, C211, C212, C213, C214, C215, C221, C222, C223, C224, C225, C231, C232, C233, C234, C235, C241, C242, C243, C244, C251, C252, C253, C254, C261, C262, C263, C264, C265, C266, C267, C268, C271, C272, C273, C274, C275, C276","MC_S6/SM/C_0402_IPC","GRM155R61A474KE15J","Murata Electronics North America","GRM155R61A474KE15J","63","Digi-Key","490-6305-1-ND"
"0.1uF","CAP CER 0.1UF 16V X7R 0402","C28, C30, C31, C32, C50, C51, C52, C53, C55, C56, C57, C59, C61, C62, C63, C64, C66, C67, C68, C70, C72, C73, C74, C75, C76, C77, C105, C109, C115","MC_S6/SM/C_0402_IPC","C0402C104K4RACTU","KEMET","C0402C104K4RACTU","29","Digi-Key","399-3521-1-ND"
"0.01uF","CAP CER 10000PF 50V NP0 0603","C80, C81, C97, C98","MC_S6/SM/C_0603_IPC","C0603C103J3GACTU","KEMET","C0603C103J3GACTU","4","Digi-Key","399-7838-1-ND"
"100uF","CAP CER 100UF 10V X5R 1210","C86, C87, C102, C112, C401, C411, C421, C431, C441, C451, C461, C462, C471, C472","MC_S6/SM/C_1210_IPC","LMK325BJ107MM-T","Taiyo Yuden","LMK325BJ107MM-T","14","Digi-Key","587-1965-1-ND"
"0.22uF","CAP CER 0.22UF 15V X7R 0402","C91, C92, C93, C94, C95, C96","MC_S6/SM/C_0402_IPC","GRM155R71C224KA12D","Murata Electronics North America","GRM155R71C224KA12D","6","Digi-Key","490-5418-1-ND"
"0.47uF","CAP CER 0.47UF 25V X7R 0603","C104, C108, C114, C117, C118","MC_S6/SM/C_0603_IPC","GRM188R71E474KA12D","Murata","GRM188R71E474KA12D","5","Digikey","490-3291-1-ND"
"220uF","CAP TANT 220UF 16V 10% 2917","CT1, CT2, CT3, CT4, CT5, CT6, CT7, CT8, CT9, CT10, CT11, CT12, CT13","MC_S6/SM/CT_2917_D","T491D227K016AT","KEMET","T491D227K016AT","13","Digi-Key","399-10429-1-ND"
"LTST-C193TBKT-5A","LED BLUE CLEAR 0603 SMD","D1","MC_S6/SM/LED_0603","LTST-C193TBKT-5A","Lite-On Inc.","LTST-C193TBKT-5A","1","Digi-Key","160-1827-1-ND"
"LTST-C193KGKT-5A","LED GREEN CLEAR 0603 SMD","D2","MC_S6/SM/LED_0603","LTST-C193KGKT-5A","Lite-On Inc.","LTST-C193KGKT-5A","1","Digi-Key","160-1828-1-ND"
"LTST-C193KRKT-5A","LED RED CLEAR 0603 SMD","D40, D41","MC_S6/SM/LED_0603","LTST-C193KRKT-5A","Lite-On Inc.","LTST-C193KRKT-5A","2","Digi-Key","160-1830-1-ND"
"VTTX","CONN FP+ CAGE 30AU SMD","J1","MC_S6/SM/TE-1888247-1","VTTX","TE Connectivity AMP Connectors","1888247-1","1","Digi-Key","A97943CT-ND"
"1uH","IND, Air Core, 1uH, 880mA, TH","L3, L4","MC_S6/TH/DELEVAN1537","1537-12K","API Delevan Inc.","1537-12K","2","Digi-Key","1134-1088-1-ND"
"CERN VTTX","Versatile Twin Transmitter Module","PCBM1","PCBM_CERN_VTTX V2.1","","CERN","VTTX-V2.1","1","",""
"1.2k","RES SMD 1.2K OHM 0.1% 1/16W 0402","R1, R15","MC_S6/SM/R_0402_IPC","ERA-2AEB122X","Panasonic Electronic Components","ERA-2AEB122X","2","Digi-Key","P1.2KDCCT-ND"
"4.7k","RES SMD 4.7K OHM 1% 1/10W 0603","R2, R5, R8, R11, R16, R40, R43, R44, R55, R81, R82, R83, R101, R103, R104, R105, R106, R108","MC_S6/SM/R_0603_IPC","CR0603-FX-4701ELF","Bourns Inc.","CR0603-FX-4701ELF","18","Digi-Key","CR0603-FX-4701ELFCT-ND"
"300R","RES SMD 300 OHM 0.1% 1/16W 0402","R3, R17","MC_S6/SM/R_0402_IPC","ERA-2AEB301X","Panasonic Electronic Components","ERA-2AEB301X","2","Digi-Key","P300DCCT-ND"
